Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
group18,Group18.Demo.Trello.security,CustomUserDetailsService,1,0,1,1,10,2,0,0,0.0,0,2,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\security\CustomUserDetailsService.java,11
group18,Group18.Demo.Trello.security,WebSecurityConfig,1,0,2,1,13,2,0,0,1.0,0,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\security\WebSecurityConfig.java,16
group18,Group18.Demo.Trello.service,BoardService,4,0,10,10,94,15,0,0,0.0,4,6,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\service\BoardService.java,17
group18,Group18.Demo.Trello.service,ListService,1,0,7,7,43,8,0,0,0.0,4,3,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\service\ListService.java,13
group18,Group18.Demo.Trello.service,TaskService,3,0,10,10,108,19,0,0,0.0,2,6,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\service\TaskService.java,17
group18,Group18.Demo.Trello.service,UserService,1,0,15,15,154,29,0,0,0.0,8,2,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\service\UserService.java,18
group18,Group18.Demo.Trello.service,WorkspaceService,2,0,11,11,108,18,0,0,0.0,4,4,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\service\WorkspaceService.java,17
group18,Group18.Demo.Trello.service,BoardServiceTest,4,0,7,1,51,7,0,0,0.5714285714285714,0,6,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\service\BoardServiceTest.java,23
group18,Group18.Demo.Trello.service,ListServiceTest,3,0,1,1,10,1,0,0,0.0,0,4,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\service\ListServiceTest.java,16
group18,Group18.Demo.Trello.service,TaskServiceTest,3,0,5,0,61,5,0,0,0.0,0,5,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\service\TaskServiceTest.java,22
group18,Group18.Demo.Trello.service,UserServiceTest,2,0,11,0,114,11,0,0,0.0,0,3,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\service\UserServiceTest.java,18
group18,Group18.Demo.Trello.service,WorkspaceServiceTest,4,0,8,4,77,8,0,0,0.25,0,6,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\service\WorkspaceServiceTest.java,25
